TICKER,PER,DATE,TIME,CLOSE
IMOEX,D,030120,000000,3076.37
IMOEX,D,060120,000000,3078.87
IMOEX,D,080120,000000,3110.06
IMOEX,D,090120,000000,3118.08
IMOEX,D,100120,000000,3123.66
IMOEX,D,130120,000000,3151.69
IMOEX,D,140120,000000,3129.77
IMOEX,D,150120,000000,3132.63
IMOEX,D,160120,000000,3157.23
IMOEX,D,170120,000000,3196.88
IMOEX,D,200120,000000,3219.92
IMOEX,D,210120,000000,3209.22
IMOEX,D,220120,000000,3174.62
IMOEX,D,230120,000000,3141.2
IMOEX,D,240120,000000,3146.2
IMOEX,D,270120,000000,3085.16
IMOEX,D,280120,000000,3113.1
IMOEX,D,290120,000000,3128.8
IMOEX,D,300120,000000,3108.58
IMOEX,D,310120,000000,3076.65
IMOEX,D,030220,000000,3070.84
IMOEX,D,040220,000000,3097.6
IMOEX,D,050220,000000,3114.25
IMOEX,D,060220,000000,3096.68
IMOEX,D,070220,000000,3087.63
IMOEX,D,100220,000000,3062.41
IMOEX,D,110220,000000,3097.58
IMOEX,D,120220,000000,3122.27
IMOEX,D,130220,000000,3110.05
IMOEX,D,140220,000000,3096.88
IMOEX,D,170220,000000,3110.06
IMOEX,D,180220,000000,3074.05
IMOEX,D,190220,000000,3114.57
IMOEX,D,200220,000000,3125.1
IMOEX,D,210220,000000,3106.03
IMOEX,D,250220,000000,3002.68
IMOEX,D,260220,000000,3017.42
IMOEX,D,270220,000000,2915.84
IMOEX,D,280220,000000,2785.08
IMOEX,D,020320,000000,2765.77
IMOEX,D,030320,000000,2821.37
IMOEX,D,040320,000000,2828.01
IMOEX,D,050320,000000,2816.7
IMOEX,D,060320,000000,2719.51
IMOEX,D,100320,000000,2498.94
IMOEX,D,110320,000000,2492.88
IMOEX,D,120320,000000,2286.4
IMOEX,D,130320,000000,2316.38
IMOEX,D,160320,000000,2266.9
IMOEX,D,170320,000000,2224.74
IMOEX,D,180320,000000,2112.64
IMOEX,D,190320,000000,2275.7
IMOEX,D,200320,000000,2331.61
IMOEX,D,230320,000000,2253.35
IMOEX,D,240320,000000,2415.97
IMOEX,D,250320,000000,2452.69
IMOEX,D,260320,000000,2489.97
IMOEX,D,270320,000000,2401.11
IMOEX,D,300320,000000,2433.35
IMOEX,D,310320,000000,2508.81
IMOEX,D,010420,000000,2473.61
IMOEX,D,020420,000000,2545.95
IMOEX,D,030420,000000,2572.23
IMOEX,D,060420,000000,2622.59
IMOEX,D,070420,000000,2634.74
IMOEX,D,080420,000000,2670.12
IMOEX,D,090420,000000,2701.77
IMOEX,D,100420,000000,2677.86
IMOEX,D,130420,000000,2628.85
IMOEX,D,140420,000000,2631.83
IMOEX,D,150420,000000,2498.94
IMOEX,D,160420,000000,2515.05
IMOEX,D,170420,000000,2534.97
IMOEX,D,200420,000000,2525.97
IMOEX,D,210420,000000,2488.02
IMOEX,D,220420,000000,2573.41
IMOEX,D,230420,000000,2599.41
IMOEX,D,240420,000000,2562.03
IMOEX,D,270420,000000,2570.91
IMOEX,D,280420,000000,2612.24
IMOEX,D,290420,000000,2663.14
IMOEX,D,300420,000000,2650.56
IMOEX,D,040520,000000,2624.64
IMOEX,D,050520,000000,2653.51
IMOEX,D,060520,000000,2632.1
IMOEX,D,070520,000000,2634
IMOEX,D,080520,000000,2641.55
IMOEX,D,120520,000000,2642.04
IMOEX,D,130520,000000,2604.98
IMOEX,D,140520,000000,2590.31
IMOEX,D,150520,000000,2593.91
IMOEX,D,180520,000000,2694.25
IMOEX,D,190520,000000,2711.72
IMOEX,D,200520,000000,2770.79
IMOEX,D,210520,000000,2718.67
IMOEX,D,220520,000000,2709.38
IMOEX,D,250520,000000,2757.93
IMOEX,D,260520,000000,2754.04
IMOEX,D,270520,000000,2741.02
IMOEX,D,280520,000000,2779.98
IMOEX,D,290520,000000,2734.83
IMOEX,D,010620,000000,2750.24
IMOEX,D,020620,000000,2796.51
IMOEX,D,030620,000000,2831.08
IMOEX,D,040620,000000,2766.26
IMOEX,D,050620,000000,2792.74
